"Site_id","Longitude","Latitude","veg_year","Marsh_Class","Basin"
"CRMS0635",-93.47932,29.91881,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0638",-93.51057,29.868,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0639",-93.47932,29.88977,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0641",-93.51057,29.89703,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0642",-93.47932,29.868,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0647",-93.47932,29.84623,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0650",-93.13557,29.91881,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0651",-93.51057,29.96236,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0655",-93.41682,29.79542,2006,"Brackish","Calcasieu/Sabine"
"CRMS0656",-93.26057,30.02042,2006,"Brackish","Calcasieu/Sabine"
"CRMS0660",-93.66682,29.91881,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0665",-93.69807,29.96236,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0669",-93.72932,29.88251,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0672",-93.41682,29.83171,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0677",-93.54182,29.85349,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0680",-93.51057,29.77365,2006,"Brackish","Calcasieu/Sabine"
"CRMS0682",-93.57307,29.82445,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0683",-93.66682,29.88977,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0685",-93.38557,29.88977,2006,"Saline","Calcasieu/Sabine"
"CRMS0691",-93.10432,29.96235,2006,"Fresh","Calcasieu/Sabine"
"CRMS0693",-93.63557,29.89703,2006,"Intermediate","Calcasieu/Sabine"
"CRMS0978",-90.29251,29.32365,2006,"Saline","Terrebonne"
"CRMS1130",-92.38555,29.70106,2006,"Intermediate","Mermentau"
"CRMS1277",-92.4793,29.82445,2006,"Fresh","Mermentau"
"CRMS1413",-93.01057,29.89703,2006,"Fresh","Mermentau"
"CRMS1446",-92.82306,29.92606,2006,"Fresh","Mermentau"
"CRMS1858",-93.51057,29.83897,2006,"Intermediate","Calcasieu/Sabine"
"CRMS2154",-93.69807,29.84623,2006,"Intermediate","Calcasieu/Sabine"
"CRMS2156",-93.69807,29.87526,2006,"Intermediate","Calcasieu/Sabine"
"CRMS2189",-93.76058,29.92606,2006,"Brackish","Calcasieu/Sabine"
"CRMS2219",-93.60432,29.76639,2006,"Intermediate","Calcasieu/Sabine"
"CRMS2334",-93.51057,29.88252,2006,"Fresh","Calcasieu/Sabine"
"CRMS2568",-91.35427,29.56315,2006,"Fresh","Atchafalaya"
"CRMS2785",-91.04176,29.50508,2006,"Fresh","Terrebonne"
"CRMS3565",-90.10424,29.49783,2006,"Brackish","Barataria"
"CRMS3590",-89.94798,29.48331,2006,"Saline","Barataria"
"CRMS4455",-90.94801,29.2583,2006,"Saline","Terrebonne"
"CRMS4529",-89.82298,29.46879,2006,"Saline","Barataria"
"CRMS4690",-90.04174,29.49783,2006,"Saline","Barataria"
"CRMS0002",-89.79173,30.10025,2007,"Brackish","Pontchartrain"
"CRMS0003",-89.25275,30.09937,2007,"Saline","Pontchartrain"
"CRMS0006",-89.97923,30.25993,2007,"Brackish","Pontchartrain"
"CRMS0008",-90.68443,30.23072,2007,"Swamp","Pontchartrain"
"CRMS0030",-90.32942,30.30482,2007,"Intermediate","Pontchartrain"
"CRMS0033",-90.3855,30.27445,2007,"Intermediate","Pontchartrain"
"CRMS0034",-90.3855,30.30348,2007,"Fresh","Pontchartrain"
"CRMS0035",-89.66476,30.26712,2007,"Swamp","Pontchartrain"
"CRMS0038",-90.6817,30.21616,2007,"Swamp","Pontchartrain"
"CRMS0039",-90.68731,30.10738,2007,"Swamp","Pontchartrain"
"CRMS0046",-90.49934,30.40488,2007,"Swamp","Pontchartrain"
"CRMS0047",-90.53371,30.13298,2007,"Swamp","Pontchartrain"
"CRMS0056",-90.44297,30.12919,2007,"Swamp","Pontchartrain"
"CRMS0058",-90.53726,30.16549,2007,"Swamp","Pontchartrain"
"CRMS0059",-90.53906,30.09295,2007,"Swamp","Pontchartrain"
"CRMS0061",-90.63992,30.22322,2007,"Swamp","Pontchartrain"
"CRMS0063",-90.64094,30.1321,2007,"Swamp","Pontchartrain"
"CRMS0065",-90.811,30.12192,2007,"Swamp","Pontchartrain"
"CRMS0086",-89.63324,30.31791,2007,"Swamp","Pontchartrain"
"CRMS0089",-90.58307,30.13183,2007,"Swamp","Pontchartrain"
"CRMS0090",-90.56128,30.15933,2007,"Swamp","Pontchartrain"
"CRMS0097",-90.65826,30.1582,2007,"Swamp","Pontchartrain"
"CRMS0103",-90.25928,30.3978,2007,"Swamp","Pontchartrain"
"CRMS0108",-89.41592,29.95506,2007,"Saline","Pontchartrain"
"CRMS0114",-89.91673,29.75912,2007,"Intermediate","Breton Sound"
"CRMS0115",-89.91673,29.78089,2007,"Intermediate","Breton Sound"
"CRMS0117",-89.91673,29.80992,2007,"Intermediate","Breton Sound"
"CRMS0118",-89.54172,29.37444,2007,"Intermediate","Breton Sound"
"CRMS0119",-89.63548,29.47605,2007,"Saline","Breton Sound"
"CRMS0120",-89.85423,29.84622,2007,"Intermediate","Breton Sound"
"CRMS0121",-89.82298,29.69379,2007,"Intermediate","Breton Sound"
"CRMS0125",-89.97923,29.76637,2007,"Fresh","Breton Sound"
"CRMS0128",-89.94798,29.8317,2007,"Fresh","Breton Sound"
"CRMS0129",-89.60422,29.46879,2007,"Saline","Breton Sound"
"CRMS0131",-89.88552,29.69252,2007,"Intermediate","Breton Sound"
"CRMS0132",-89.88548,29.66476,2007,"Intermediate","Breton Sound"
"CRMS0135",-89.76048,29.68654,2007,"Brackish","Breton Sound"
"CRMS0136",-89.79173,29.62122,2007,"Brackish","Breton Sound"
"CRMS0139",-89.47922,29.3817,2007,"Intermediate","Breton Sound"
"CRMS0146",-89.72923,29.73008,2007,"Brackish","Breton Sound"
"CRMS0147",-89.60422,29.66476,2007,"Saline","Breton Sound"
"CRMS0148",-89.69798,29.51235,2007,"Brackish","Breton Sound"
"CRMS0151",-89.13546,29.2075,2007,"Intermediate","Mississippi River Delta"
"CRMS0153",-89.13546,29.11315,2007,"Intermediate","Mississippi River Delta"
"CRMS0154",-89.19796,29.11315,2007,"Intermediate","Mississippi River Delta"
"CRMS0156",-89.16671,29.16394,2007,"Intermediate","Mississippi River Delta"
"CRMS0157",-89.22921,29.12766,2007,"Fresh","Mississippi River Delta"
"CRMS0159",-89.19796,29.04056,2007,"Intermediate","Mississippi River Delta"
"CRMS0161",-89.16671,29.29459,2007,"Intermediate","Mississippi River Delta"
"CRMS0162",-89.13546,29.16395,2007,"Intermediate","Mississippi River Delta"
"CRMS0163",-89.41672,29.21476,2007,"Intermediate","Mississippi River Delta"
"CRMS0164",-90.16994,29.19306,2007,"Saline","Barataria"
"CRMS0171",-89.79605,29.32377,2007,"Saline","Barataria"
"CRMS0172",-89.73433,29.31653,2007,"Saline","Barataria"
"CRMS0173",-89.72993,29.4543,2007,"Saline","Barataria"
"CRMS0174",-89.76302,29.3963,2007,"Saline","Barataria"
"CRMS0175",-90.13792,29.2874,2007,"Saline","Barataria"
"CRMS0176",-89.79333,29.41078,2007,"Saline","Barataria"
"CRMS0178",-90.04698,29.28748,2007,"Saline","Barataria"
"CRMS0179",-89.69845,29.39623,2007,"Saline","Barataria"
"CRMS0181",-89.70033,29.33823,2007,"Saline","Barataria"
"CRMS0184",-90.07272,29.8026,2007,"Swamp","Barataria"
"CRMS0188",-90.13549,29.79541,2007,"Intermediate","Barataria"
"CRMS0189",-90.26049,29.80993,2007,"Fresh","Barataria"
"CRMS0190",-90.26049,29.52686,2007,"Intermediate","Barataria"
"CRMS0192",-90.54175,29.85348,2007,"Fresh","Barataria"
"CRMS0194",-90.94014,29.99133,2007,"Swamp","Barataria"
"CRMS0197",-90.94179,29.91151,2007,"Swamp","Barataria"
"CRMS0200",-90.97757,29.96965,2007,"Swamp","Barataria"
"CRMS0206",-90.66574,29.83895,2007,"Swamp","Barataria"
